# TestSimulation (Up to date)
# 636 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,71.259,23.1,0.001,1.028e-5,9.792,NaN,25.981,NaN,0,0,0,0.875,0.681,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.974,90,15,1013.25,0.001,340.389,0.006,5.678e4,2.5,4.909,0.01,0.002,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,71.253,23.094,0.001,1.028e-5,9.792,NaN,25.98,NaN,0.305,0.437,0,0.873,0.679,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.997,90,15,1013.25,0.001,340.389,0.006,5.744e4,2.5,4.909,0.01,0.003,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90,0,0,0,90,0,71.248,23.088,0.001,1.028e-5,9.792,NaN,25.979,NaN,0.61,0.875,0,0.87,0.677,0.073,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.02,90,15,1013.25,0.001,340.389,0.006,5.81e4,2.5,4.909,0.011,0.004,0
0.031,4.559e-5,4.559e-5,0.015,0.015,3.487,3.488,-4.038e-6,0,4.038e-6,270,9.199e-4,0.101,28.61,-80.6,89.589,0,0,0,90,0,71.241,23.082,0.001,1.028e-5,9.792,NaN,25.978,NaN,0.946,1.356,0,0.868,0.675,0.073,0.12,8.041e-7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046,90,15,1013.25,0.001,340.389,0.006,5.881e4,2.5,4.909,0.01,0.005,1.884e-6
0.041,5.157e-4,5.157e-4,0.094,0.094,12.426,12.426,-1.835e-5,0,1.835e-5,270,0.002,0.104,28.61,-80.6,87.389,0,0,0,90,0,71.206,23.047,0.001,1.028e-5,9.792,NaN,25.973,NaN,1.582,2.269,2.578e-7,0.866,0.673,0.073,0.12,2.003e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.069,90,15,1013.25,0.001,340.389,0.006,5.95e4,2.5,4.909,0.01,0.006,1.207e-5
0.051,0.002,0.002,0.263,0.263,21.374,21.374,-4.305e-5,0,4.305e-5,270,0.003,0.107,28.61,-80.6,82.813,0,0,0,90,0,71.17,23.011,0.001,1.028e-5,9.792,NaN,25.967,NaN,2.218,3.183,5.275e-6,0.862,0.67,0.073,0.12,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.09,90,15,1013.25,0.001,340.389,0.006,6.051e4,2.5,4.909,0.01,0.007,3.371e-5
0.061,0.006,0.006,0.522,0.522,30.331,30.331,-7.85e-5,0,7.85e-5,270,0.004,0.112,28.61,-80.6,76.02,0,0,0,90,0,71.135,22.976,0.001,1.028e-5,9.792,NaN,25.961,NaN,2.854,4.098,3.76e-5,0.857,0.665,0.073,0.12,0.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1,90,15,1013.249,0.001,340.389,0.006,6.211e4,2.5,4.909,0.01,0.008,6.68e-5
0.071,0.013,0.013,0.87,0.87,39.295,39.295,-1.252e-4,0,1.252e-4,270,0.005,0.123,28.61,-80.6,67.538,0,0,0,90,0,71.1,22.941,0.001,1.028e-5,9.792,NaN,25.956,NaN,3.49,5.013,1.539e-4,0.847,0.655,0.072,0.12,0.099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.109,90,15,1013.248,0.001,340.389,0.007,6.547e4,2.5,4.909,0.01,0.008,1.114e-4
# Event LIFTOFF occurred at t=0.081 seconds
0.081,0.024,0.024,1.308,1.308,48.266,48.266,-1.844e-4,0,1.844e-4,270,0.007,0,28.61,-80.6,58.236,0,0,0,90,0,71.064,22.905,0.001,1.028e-5,9.792,NaN,25.95,NaN,4.126,5.93,4.452e-4,0.831,0.64,0.071,0.12,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.119,90,15,1013.247,0.001,340.389,0.007,7.144e4,2.5,4.909,0.011,0.009,1.674e-4
0.092,0.041,0.041,1.893,1.893,58.14,58.14,-2.568e-4,0,2.568e-4,270,0.007,0,28.61,-80.6,48.271,0,0,0,90,0,71.026,22.866,0.001,1.027e-5,9.792,NaN,25.944,NaN,4.826,6.939,0.001,0.808,0.617,0.07,0.12,0.448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.129,90,15,1013.245,0.001,340.389,0.008,8.179e4,2.5,4.909,0.01,0.01,2.424e-4
0.102,0.063,0.063,2.551,2.551,73.539,73.539,-3.227e-4,0,3.227e-4,270,0.007,0,28.61,-80.6,39.822,0,0,0,90,0,70.935,22.776,0.001,1.027e-5,9.792,NaN,25.93,NaN,5.913,8.513,0.002,0.782,0.593,0.069,0.12,0.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.134,90,15,1013.243,0.001,340.389,0.01,9.553e4,2.5,4.909,0.01,0.011,3.267e-4
0.112,0.093,0.093,3.364,3.364,88.969,88.969,-3.886e-4,0,3.886e-4,270,0.007,0,28.61,-80.6,32.148,0,0,0,90,0,70.845,22.686,0.001,1.027e-5,9.792,NaN,25.915,NaN,7,10.091,0.004,0.755,0.566,0.068,0.12,0.792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.121,90,14.999,1013.239,0.001,340.389,0.012,1.143e5,2.5,4.909,0.01,0.012,4.307e-4
0.122,0.131,0.131,4.331,4.331,104.429,104.429,-4.545e-4,0,4.545e-4,270,0.007,0,28.61,-80.6,25.877,0,0,0,90,0,70.754,22.595,0.001,1.026e-5,9.792,NaN,25.9,NaN,8.088,11.673,0.006,0.727,0.54,0.067,0.12,0.874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.107,90,14.999,1013.235,0.001,340.388,0.014,1.384e5,2.5,4.909,0.01,0.013,5.545e-4
0.132,0.18,0.18,5.452,5.452,119.917,119.917,-5.204e-4,0,5.204e-4,270,0.007,0,28.61,-80.6,20.95,0,0,0,90,0,70.664,22.505,0.001,1.026e-5,9.792,NaN,25.886,NaN,9.175,13.259,0.009,0.701,0.515,0.066,0.12,0.897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.094,90,14.999,1013.229,0.001,340.388,0.017,1.679e5,2.5,4.909,0.007,0.013,6.981e-4
0.139,0.221,0.221,6.33,6.33,130.775,130.775,-5.665e-4,0,5.665e-4,270,0.007,0,28.61,-80.6,18.176,0,0,0,90,0,70.601,22.441,0.001,1.026e-5,9.792,NaN,25.876,NaN,9.936,14.372,0.012,0.685,0.499,0.066,0.12,0.889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.085,90,14.999,1013.224,0.001,340.388,0.02,1.916e5,2.5,4.909,0.01,0.014,8.104e-4
0.149,0.291,0.291,7.694,7.694,142.13,142.13,-6.324e-4,0,6.324e-4,270,0.007,0,28.61,-80.6,15.023,0,0,0,90,0,70.453,22.294,0.001,1.025e-5,9.792,NaN,25.852,NaN,10.72,15.538,0.016,0.664,0.478,0.065,0.12,0.855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.072,90,14.998,1013.216,0.001,340.388,0.023,2.291e5,2.5,4.909,0.01,0.015,9.851e-4
0.159,0.375,0.375,9.173,9.173,153.523,153.523,-6.983e-4,0,6.983e-4,270,0.007,0,28.61,-80.6,12.681,0,0,0,90,0,70.306,22.147,0.001,1.025e-5,9.792,NaN,25.828,NaN,11.504,16.709,0.021,0.645,0.461,0.065,0.12,0.808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.071,90,14.998,1013.206,0.001,340.387,0.028,2.704e5,2.5,4.909,0.01,0.016,0.001
0.169,0.475,0.475,10.765,10.765,164.95,164.95,-7.642e-4,0,7.642e-4,270,0.007,0,28.61,-80.6,10.855,0,0,0,90,0,70.159,22,0.001,1.024e-5,9.792,NaN,25.804,NaN,12.287,17.885,0.028,0.629,0.445,0.064,0.12,0.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.071,90,14.997,1013.194,0.001,340.387,0.032,3.152e5,2.5,4.909,0.009,0.017,0.001
0.178,0.582,0.582,12.347,12.347,175.594,175.594,-8.254e-4,0,8.254e-4,270,0.007,0,28.61,-80.6,9.493,0,0,0,90,0,70.022,21.863,0.001,1.023e-5,9.792,NaN,25.781,NaN,13.015,18.982,0.034,0.618,0.433,0.064,0.12,0.726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.071,90,14.996,1013.182,0.001,340.387,0.037,3.6e5,2.5,4.909,0.008,0.017,0.002
0.186,0.688,0.688,13.806,13.806,184.885,184.885,-8.787e-4,0,8.787e-4,270,0.007,0,28.61,-80.6,8.505,0,0,0,90,0,69.903,21.744,0.001,1.023e-5,9.792,NaN,25.762,NaN,13.65,19.942,0.042,0.617,0.433,0.064,0.12,0.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.071,90,14.996,1013.169,0.001,340.386,0.041,4.014e5,2.5,4.909,0.006,0.018,0.002
0.192,0.769,0.769,14.862,14.862,191.332,191.332,-9.157e-4,0,9.157e-4,270,0.007,0,28.61,-80.6,7.91,0,0,0,90,0,69.821,21.662,0.001,1.023e-5,9.792,NaN,25.748,NaN,14.09,20.609,0.047,0.617,0.433,0.064,0.12,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.071,90,14.995,1013.16,0.001,340.386,0.044,4.315e5,2.5,4.909,0.007,0.019,0.002
0.199,0.873,0.873,16.1,16.1,176.52,176.52,-9.601e-4,0,9.601e-4,270,0.007,0,28.61,-80.6,7.309,0,0,0,90,0,69.716,21.556,0.001,1.022e-5,9.792,NaN,25.731,NaN,13.044,19.107,0.055,0.617,0.433,0.064,0.12,0.69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.072,90,14.994,1013.148,0.001,340.385,0.048,4.668e5,2.5,4.909,0.006,0.02,0.002
0.205,0.976,0.976,17.153,17.153,162.807,162.807,-0.001,0,0.001,270,0.007,0,28.61,-80.6,6.891,0,0,0,90,0,69.618,21.459,0.001,1.022e-5,9.792,NaN,25.714,NaN,12.077,17.716,0.061,0.617,0.433,0.063,0.12,0.684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.08,90,14.994,1013.136,0.001,340.385,0.051,4.969e5,2.5,4.909,0.004,0.02,0.002
# Event LAUNCHROD occurred at t=0.209 seconds
0.209,1.047,1.047,17.796,17.796,153.825,153.842,-0.001,0,0.001,270,0.007,2.303,28.61,-80.6,6.666,0,0,0,90,0,69.555,21.396,0.001,1.022e-5,9.792,30.214,25.704,1.804,11.446,16.805,0.066,0.617,0.433,0.063,0.12,0.68,1.658,2.992,2.745e-4,0,0,0,0,0,2.086,90,14.993,1013.127,0.001,340.385,0.053,5.152e5,2.5,4.909,0.006,0.021,0.002
0.215,1.158,1.158,18.684,18.684,137.708,137.729,-0.001,0,0.001,270,0.021,2.373,28.61,-80.6,6.332,0,2.363,9.2e-6,89.993,90.001,69.485,21.326,0.001,1.021e-5,9.792,30.286,25.692,1.837,10.321,15.168,0.072,0.617,0.433,0.063,0.12,0.675,1.562,2.87,2.565e-4,0,0,0,0,3.774e-4,2.096,90,14.992,1013.114,0.001,340.384,0.055,5.406e5,2.5,4.909,0.009,0.022,0.002
0.224,1.334,1.334,19.831,19.831,113.487,113.512,-0.001,0,0.001,270,0.043,2.389,28.61,-80.6,5.909,0,6.126,-7.179e-5,89.954,90,69.379,21.22,0.001,1.021e-5,9.792,30.378,25.675,1.881,8.633,12.707,0.08,0.617,0.433,0.063,0.12,0.669,1.443,2.712,-8.061e-5,0,0,0,0,0.002,2.111,90,14.991,1013.094,0.001,340.384,0.059,5.734e5,2.5,4.909,0.007,0.023,0.003
0.231,1.471,1.471,20.539,20.539,95.49,95.519,-0.002,0,0.002,270,0.059,2.352,28.61,-80.6,5.64,0,9.048,-2.699e-4,89.903,89.999,69.301,21.142,0.001,1.02e-5,9.792,30.438,25.661,1.911,7.381,10.877,0.085,0.617,0.433,0.063,0.12,0.665,1.368,2.609,2.994e-4,0,0,0,0,0.005,2.122,90,14.99,1013.077,0.001,340.383,0.061,5.936e5,2.5,4.909,0.009,0.023,0.003
0.24,1.663,1.663,21.368,21.369,85.966,85.995,-0.002,0,0.002,270,0.08,2.222,28.61,-80.6,5.302,0,13.104,-3.267e-4,89.802,89.999,69.225,21.066,0.001,1.02e-5,9.792,30.515,25.649,1.947,6.72,9.913,0.091,0.617,0.433,0.063,0.121,0.66,1.275,2.472,4.566e-4,0,0,0,0,0.009,2.137,90,14.989,1013.055,0.001,340.382,0.063,6.173e5,2.5,4.909,0.008,0.024,0.003
0.248,1.833,1.833,22.012,22.012,77.766,77.793,-0.003,0,0.003,270,0.097,2.063,28.61,-80.6,5.015,0,16.654,-3.687e-4,89.685,89.999,69.16,21.001,0.001,1.02e-5,9.792,30.581,25.638,1.977,6.151,9.083,0.096,0.617,0.433,0.063,0.121,0.656,1.197,2.353,1.029e-5,0,0,0,0,0.014,2.15,90,14.988,1013.035,0.001,340.382,0.065,6.357e5,2.5,4.909,0.009,0.025,0.003
0.257,2.03,2.03,22.689,22.69,75.855,75.876,-0.004,0,0.004,270,0.114,1.758,28.61,-80.6,4.634,0,20.64,-2.843e-4,89.52,89.999,69.097,20.938,0.001,1.02e-5,9.792,30.671,25.627,2.018,6.018,8.895,0.102,0.617,0.433,0.063,0.121,0.651,1.095,2.189,-4.596e-4,0,0,0,0,0.02,2.144,90,14.987,1013.012,0.001,340.381,0.067,6.55e5,2.5,4.909,0.009,0.025,0.003
0.266,2.236,2.236,23.358,23.358,73.92,73.932,-0.005,0,0.005,270,0.128,1.369,28.61,-80.6,4.223,0,24.59,-3.272e-5,89.319,89.999,69.034,20.875,0.001,1.019e-5,9.792,30.77,25.616,2.061,5.884,8.704,0.107,0.617,0.433,0.063,0.121,0.646,0.987,2.008,2.64e-4,0,0,0,0,0.026,2.132,90,14.985,1012.988,0.001,340.38,0.069,6.741e5,2.5,4.909,0.009,0.026,0.003
0.275,2.453,2.453,24.026,24.027,71.925,71.931,-0.006,0,0.006,270,0.138,0.901,28.61,-80.6,3.788,0,28.505,-1.763e-4,89.075,89.999,68.968,20.809,0.001,1.019e-5,9.792,30.877,25.605,2.109,5.746,8.508,0.112,0.617,0.433,0.063,0.121,0.64,0.875,1.812,-3.53e-4,0,0,0,0,0.033,2.119,90,14.984,1012.962,0.001,340.379,0.071,6.932e5,2.5,4.909,0.01,0.027,0.003
0.285,2.687,2.687,24.707,24.708,69.83,69.83,-0.008,0,0.008,270,0.144,0.342,28.61,-80.6,3.322,0,32.375,7.097e-4,88.782,90,68.9,20.741,0.001,1.019e-5,9.792,30.995,25.594,2.161,5.602,8.303,0.117,0.617,0.433,0.063,0.121,0.635,0.758,1.596,-1.373e-4,0,0,0,0,0.041,2.106,90,14.983,1012.935,0.001,340.378,0.073,7.126e5,2.5,4.909,0.007,0.028,0.003
0.292,2.874,2.874,25.223,25.224,68.192,68.193,-0.009,6.668e-9,0.009,270,0.145,0.136,28.61,-80.6,2.951,0,35.178,9.608e-4,88.529,90,68.847,20.688,0.001,1.019e-5,9.792,31.091,25.585,2.203,5.489,8.142,0.122,0.617,0.433,0.063,0.121,0.632,0.666,1.422,2.553e-4,0,0,0,0,0.046,2.095,90,14.981,1012.913,0.001,340.378,0.074,7.274e5,2.5,4.909,0.011,0.028,0.003
0.303,3.158,3.158,25.974,25.974,66.994,67,-0.01,9.239e-9,0.01,270,0.139,0.933,28.61,-80.6,2.405,0,38.911,0.001,88.118,90,68.776,20.617,0.001,1.018e-5,9.792,31.237,25.573,2.266,5.408,8.03,0.128,0.617,0.433,0.063,0.121,0.627,0.535,1.158,2.198e-4,0,0,0,0,0.053,2.086,90,14.979,1012.88,0.001,340.376,0.077,7.489e5,2.5,4.909,0.013,0.029,0.003
0.316,3.497,3.497,26.825,26.826,65.589,65.617,-0.012,7.147e-9,0.012,270,0.121,1.916,28.61,-80.6,1.802,0,42.513,0.002,87.594,90.001,68.694,20.535,0.001,1.018e-5,9.792,31.403,25.559,2.338,5.315,7.901,0.135,0.617,0.433,0.063,0.121,0.623,0.394,0.862,1.58e-4,0,0,0,0,0.06,2.094,90,14.977,1012.84,0.001,340.375,0.079,7.733e5,2.5,4.909,0.016,0.03,0.003
0.332,3.939,3.939,27.871,27.871,63.788,63.871,-0.014,-7.754e-9,0.014,270,0.079,3.25,28.61,-80.6,1.035,0,45.731,0.002,86.878,90.001,68.591,20.432,0.001,1.018e-5,9.792,31.623,25.541,2.433,5.197,7.737,0.145,0.617,0.433,0.063,0.121,0.619,0.221,0.474,4.216e-4,0,0,0,0,0.064,2.105,90,14.974,1012.788,0.001,340.373,0.082,8.034e5,2.5,4.909,0.024,0.03,0.004
0.356,4.634,4.634,29.385,29.385,61.01,61.244,-0.014,-6.29e-8,0.014,270,0.025,5.351,28.61,-80.6,0.106,0,-47.133,0.006,85.743,90,68.436,20.277,0.001,1.017e-5,9.792,31.904,25.514,2.556,5.02,7.491,0.161,0.617,0.433,0.063,0.121,0.617,0.022,0.118,4.004e-4,0,0,0,0,-0.061,2.107,90,14.97,1012.707,0.001,340.371,0.087,8.47e5,2.5,4.909,0.014,0.031,0.004
0.37,5.04,5.04,30.206,30.206,59.405,59.765,-0.014,-1.049e-7,0.014,270,0.106,6.55,28.61,-80.6,0.736,0,-45.753,0.001,85.108,90,68.349,20.19,0.001,1.017e-5,9.792,31.712,25.499,2.485,4.921,7.353,0.17,0.617,0.433,0.063,0.121,0.618,0.156,0.443,1.69e-4,0,0,0,0,-0.055,2.089,90,14.967,1012.659,0.001,340.369,0.089,8.706e5,2.5,4.909,0.02,0.031,0.004
0.39,5.67,5.67,31.404,31.405,57.769,58.365,-0.01,-1.492e-7,0.01,269.999,0.259,8.322,28.61,-80.6,1.558,-4.939e-7,-40.631,0.002,84.219,89.999,68.232,20.073,0.001,1.016e-5,9.792,31.473,25.479,2.397,4.829,7.227,0.185,0.617,0.433,0.063,0.121,0.622,0.338,0.851,3.486e-4,0,0,0,0,-0.04,2.06,90,14.963,1012.585,0.001,340.367,0.093,9.052e5,2.5,4.909,0.012,0.032,0.004
0.402,6.047,6.047,32.084,32.086,56.807,57.554,-0.006,-1.459e-7,0.006,269.999,0.363,9.239,28.61,-80.6,1.948,0,-36.072,9.721e-4,83.762,89.999,68.164,20.005,0.001,1.016e-5,9.792,31.363,25.467,2.358,4.775,7.154,0.194,0.617,0.433,0.063,0.121,0.624,0.428,1.04,9.727e-5,0,0,0,0,-0.03,2.044,90,14.961,1012.541,0.001,340.365,0.095,9.249e5,2.5,4.909,0.009,0.033,0.004
0.412,6.348,6.348,32.609,32.612,56.054,56.917,-0.002,-1.178e-7,0.002,269.997,0.452,9.873,28.61,-80.6,2.201,0,-31.761,0.001,83.446,89.999,68.111,19.951,0.001,1.016e-5,9.792,31.294,25.458,2.334,4.733,7.097,0.201,0.617,0.433,0.063,0.121,0.626,0.487,1.159,3.865e-4,0,0,0,0,-0.023,2.03,90,14.959,1012.505,0.001,340.364,0.096,9.401e5,2.5,4.909,0.008,0.034,0.004
0.42,6.613,6.613,33.059,33.063,55.406,56.364,0.002,-7.037e-8,0.002,90.003,0.534,10.347,28.61,-80.6,2.378,0,-27.553,1.465e-4,83.207,89.999,68.064,19.905,0.001,1.015e-5,9.792,31.246,25.45,2.318,4.697,7.047,0.207,0.617,0.433,0.063,0.121,0.627,0.529,1.242,-2.469e-5,0,0,0,0,-0.016,2.019,90,14.957,1012.474,0.001,340.363,0.097,9.531e5,2.5,4.909,0.007,0.034,0.004
0.427,6.857,6.857,33.463,33.468,54.825,55.861,0.006,-5.861e-9,0.006,90,0.611,10.708,28.61,-80.6,2.505,-3.019e-7,-23.401,8.121e-5,83.02,89.999,68.022,19.863,0.001,1.015e-5,9.792,31.212,25.443,2.308,4.664,7.002,0.213,0.618,0.433,0.063,0.121,0.628,0.559,1.301,-2.58e-4,0,0,0,0,-0.012,2.008,90,14.955,1012.446,0.001,340.362,0.099,9.648e5,2.5,4.909,0.007,0.035,0.004
0.434,7.086,7.086,33.835,33.842,54.292,55.392,0.01,7.417e-8,0.01,90,0.685,10.98,28.61,-80.6,2.591,0,-19.289,2.026e-4,82.874,89.999,67.983,19.824,0.001,1.015e-5,9.792,31.189,25.436,2.301,4.633,6.96,0.218,0.618,0.433,0.063,0.121,0.629,0.579,1.341,2.833e-4,0,0,0,0,-0.008,1.999,90,14.954,1012.419,0.001,340.361,0.1,9.756e5,2.5,4.909,0.006,0.035,0.004
0.44,7.306,7.306,34.184,34.192,53.795,54.944,0.015,1.69e-7,0.015,89.999,0.756,11.176,28.61,-80.6,2.645,0,-15.204,-1.841e-4,82.763,89.998,67.946,19.787,0.001,1.015e-5,9.792,31.174,25.429,2.298,4.604,6.92,0.222,0.618,0.433,0.063,0.121,0.63,0.592,1.366,-5.837e-5,0,0,0,0,-0.005,1.99,90,14.953,1012.393,0.001,340.36,0.101,9.857e5,2.5,4.909,0.006,0.036,0.004
0.447,7.519,7.519,34.517,34.527,53.327,54.512,0.02,2.783e-7,0.02,89.999,0.826,11.305,28.61,-80.6,2.67,0,-11.144,4.925e-4,82.681,89.998,67.91,19.751,0.001,1.015e-5,9.792,31.168,25.423,2.298,4.576,6.882,0.227,0.618,0.433,0.063,0.121,0.63,0.598,1.378,-3.302e-4,0,0,0,0,-0.002,1.981,90,14.951,1012.368,0.001,340.359,0.102,9.954e5,2.5,4.909,0.006,0.037,0.004
0.453,7.729,7.729,34.838,34.849,52.882,54.088,0.025,4.021e-7,0.025,89.999,0.895,11.362,28.61,-80.6,2.663,0,-7.105,6.79e-4,82.626,89.998,67.876,19.717,0.001,1.015e-5,9.792,31.17,25.417,2.301,4.549,6.844,0.231,0.618,0.433,0.063,0.121,0.63,0.597,1.375,3.944e-4,0,0,0,0,-9.87e-4,1.976,90,14.95,1012.344,0.001,340.358,0.103,1.005e6,2.5,4.909,0.006,0.037,0.004
0.458,7.937,7.937,35.15,35.164,52.455,53.669,0.03,5.413e-7,0.03,89.999,0.962,11.35,28.61,-80.6,2.625,0,-3.093,3.578e-4,82.595,89.998,67.842,19.682,0.001,1.015e-5,9.792,31.18,25.411,2.308,4.522,6.808,0.235,0.618,0.433,0.063,0.121,0.63,0.588,1.356,-2.128e-4,0,0,0,0,-1.837e-4,1.977,90,14.948,1012.319,0.001,340.358,0.104,1.014e6,2.5,4.909,0.006,0.038,0.005
0.464,8.145,8.145,35.459,35.474,52.04,53.248,0.036,6.974e-7,0.036,89.999,1.029,11.28,28.61,-80.6,2.564,0,0.902,-3.983e-5,82.589,89.998,67.808,19.649,0.001,1.014e-5,9.792,31.197,25.405,2.317,4.496,6.771,0.239,0.618,0.433,0.063,0.121,0.629,0.573,1.327,-3.954e-4,0,0,0,0,1.535e-5,1.978,90,14.947,1012.295,0.001,340.357,0.105,1.023e6,2.5,4.909,0.006,0.038,0.005
0.47,8.357,8.357,35.767,35.783,51.633,52.824,0.043,8.72e-7,0.043,89.999,1.096,11.153,28.61,-80.6,2.48,0,4.881,0.001,82.606,89.998,67.774,19.615,0.001,1.014e-5,9.792,31.219,25.399,2.328,4.469,6.734,0.243,0.618,0.433,0.063,0.121,0.628,0.553,1.287,6.474e-6,0,0,0,0,4.417e-4,1.979,90,14.946,1012.27,0.001,340.356,0.105,1.032e6,2.5,4.909,0.005,0.039,0.005
0.475,8.524,8.524,36.006,36.025,51.319,52.488,0.048,1.022e-6,0.048,89.999,1.147,11.012,28.61,-80.6,2.4,0,7.959,5.069e-4,82.636,89.998,67.747,19.588,0.001,1.014e-5,9.792,31.241,25.394,2.338,4.448,6.705,0.246,0.618,0.433,0.063,0.121,0.628,0.534,1.248,-4.87e-4,0,0,0,0,0.001,1.98,90,14.945,1012.25,0.001,340.355,0.106,1.039e6,2.5,4.909,0.006,0.04,0.005
0.481,8.745,8.745,36.32,36.34,51.23,52.36,0.055,1.235e-6,0.055,89.999,1.214,10.817,28.61,-80.6,2.276,0,11.898,6.335e-4,82.697,89.998,67.714,19.555,0.001,1.014e-5,9.792,31.274,25.389,2.354,4.442,6.699,0.25,0.618,0.433,0.063,0.121,0.627,0.505,1.185,-4.892e-4,0,0,0,0,0.003,1.981,90,14.943,1012.224,0.001,340.354,0.107,1.048e6,2.5,4.909,0.006,0.04,0.005
0.487,8.975,8.975,36.643,36.666,51.147,52.225,0.063,1.476e-6,0.063,89.999,1.282,10.553,28.61,-80.6,2.126,0,15.809,0.001,82.784,89.998,67.681,19.522,0.001,1.014e-5,9.792,31.316,25.383,2.373,4.436,6.693,0.254,0.618,0.433,0.063,0.122,0.626,0.469,1.11,4.679e-4,0,0,0,0,0.004,1.982,90,14.942,1012.197,0.001,340.354,0.108,1.057e6,2.5,4.909,0.007,0.041,0.005
0.494,9.219,9.219,36.982,37.006,51.069,52.08,0.072,1.751e-6,0.072,89.999,1.35,10.213,28.61,-80.6,1.947,0,19.683,6.078e-4,82.902,89.998,67.645,19.486,0.001,1.014e-5,9.792,31.365,25.377,2.395,4.43,6.687,0.259,0.618,0.433,0.063,0.122,0.625,0.428,1.018,2.68e-4,0,0,0,0,0.007,1.983,90,14.94,1012.169,0.001,340.353,0.109,1.067e6,2.5,4.909,0.007,0.041,0.005
0.501,9.482,9.482,37.343,37.37,50.993,51.923,0.082,2.071e-6,0.082,89.999,1.421,9.781,28.61,-80.6,1.733,0,23.508,3.629e-4,83.055,89.998,67.608,19.448,0.001,1.014e-5,9.792,31.425,25.37,2.422,4.423,6.681,0.263,0.618,0.433,0.063,0.122,0.623,0.378,0.907,3.24e-4,0,0,0,0,0.009,1.985,90,14.938,1012.138,0.001,340.352,0.11,1.078e6,2.5,4.909,0.008,0.042,0.005
0.509,9.775,9.775,37.741,37.77,50.917,51.746,0.093,2.451e-6,0.093,89.998,1.495,9.227,28.61,-80.6,1.471,0,27.252,-9.187e-4,83.253,89.998,67.566,19.407,0.001,1.013e-5,9.792,31.499,25.363,2.455,4.415,6.673,0.268,0.618,0.433,0.063,0.122,0.622,0.319,0.771,3.815e-4,0,0,0,0,0.012,1.989,90,14.936,1012.104,0.001,340.35,0.111,1.089e6,2.5,4.909,0.009,0.043,0.005
